player,id,matches
0,633366,1252057
1,524050,1252057
2,633399,1252056
3,974173,1252056
4,1059030,1252056
5,524048,"1193500,1252057"
6,402245,"1193500,1252056,1252057"
7,712219,"1197138,1193500,1252056"
8,914171,1197138
9,921509,"1197138,1193500,1252056,1252057"
10,1108490,1168120
11,935553,1168120
12,703323,"1168120,1197138,1193500"
13,440968,"1133983,1168120,1197138,1193500,1252056"
14,973945,"1133983,1168120"
15,793463,"1133983,1168120,1197138,1193500,1252057"
16,533956,"1133983,1168120,1197138,1193500,1252056,1252057"
17,974109,1133983
18,419873,"1133983,1168120"
19,25913,"1133983,1168120,1197138"
20,308235,"1133983,1193500,1252057"
21,440970,"1133983,1168120,1197138,1252056,1252057"
22,320652,"1133983,1168120,1197138,1193500,1252056,1252057"
23,420402,"1133983,1197138,1193500,1252056,1252057"
