player,id,matches
0,632168,1288345
1,1199304,"1263149,1263150,1263169,1263170,1256726,1256727,1256728"
2,851501,"1244025,1244026"
3,348056,"1244025,1244026,1252073,1252074,1263149,1263150,1263169,1263170,1288345,1288346,1256728"
4,314650,"1244025,1244026,1252073,1252074,1263149,1263169,1263170,1288345,1288346,1256726,1256727,1256728"
5,914519,1233958
6,1168667,"1233958,1244025,1244026,1252073,1252074,1263149,1263150,1263169,1263170,1288345,1288346,1256726,1256727,1256728"
7,332937,1188629
8,494581,"1188629,1193500,1225249,1244025,1244026,1252073,1252074,1263149,1288345"
9,230555,"1188628,1188629,1193500,1225247,1225248,1225249,1233957,1233958,1256726,1256727,1256728"
10,348026,"1158062,1158063,1158064,1188628,1188629,1193500,1225247,1225248,1225249,1233957,1233958,1244025,1244026,1252073,1252074,1256726,1256727,1256728"
11,1086206,"1157752,1153312"
12,677081,"1146718,1157752,1158064"
13,450101,1115794
14,348054,"1115793,1115794,1157752,1157753,1153311,1153312"
15,443150,"1031659,1031661,1031663,1122886,1122887"
16,399276,"1077953,1077954,1077955"
17,670025,"1077953,1077954,1077955,1115793,1115794,1146718,1157752,1157753,1153311,1153312,1158062,1158063,1158064,1188628,1188629,1193500"
18,670031,"1022597,1050233,1077953,1077954,1077955,1031659,1158062,1158063,1158064,1225247,1225248,1233957,1233958,1244026,1252073,1252074,1263170,1256726,1256727,1256728"
19,556749,"1022595,1022597,1022599,1050229,1050231,1031659,1115793,1115794,1135149,1135150,1135151,1146717,1146718,1188628"
20,391832,"1022593,1022595,1022597,1022599,1050229,1050231,1050233,1077953,1077954,1077955,1031659,1031661,1031663,1122886,1122887,1115793,1115794,1135149,1135150,1135151,1146717,1146718,1157752,1157753,1153311,1153312,1158062,1158063,1158064,1188628,1188629,1193500,1225247,1225248,1225249,1233957,1233958,1263149,1263150,1263169,1263170,1288345,1288346"
21,457249,"892517,892519,1022593"
22,432214,"915775,892515,892517,892519,1157753,1153311,1153312,1193500,1244025,1244026,1263169,1288345,1288346"
23,316153,"810425,892515,892517,1022593,1022595"
24,431905,"810423,810425,1022593,1022595,1022597,1022599,1050229,1050233,1077953,1077954,1077955,1031659,1031661,1031663,1122886,1122887,1115793,1115794,1135149,1135150,1135151,1146717,1146718,1157752,1157753,1153311,1153312,1158062,1158063,1158064,1193500,1225247,1225248,1225249,1233957"
25,581379,"766933,810423,810425,915773,915775,892519,1050231,1077953,1077954,1077955,1031659,1031661,1031663,1122886,1122887,1115793,1115794,1135149,1135150,1135151,1146717,1146718,1157752,1157753,1153311,1153312,1158062,1158063,1158064,1188628,1193500,1225247,1225248,1225249,1263149,1263150,1288345,1288346"
26,52796,722331
27,52280,"730297,722329,722331,722333,1022597,1022599,1050229,1050231,1050233"
28,391485,"730281,722331,722333,766929,766931,766933,810423,810425,915773,915775,892515,892517,892519,1022593,1022595,1022597,1022599,1050229,1050231,1050233,1077953,1077954,1077955,1031659,1031661,1031663,1122886,1122887,1115793,1135149,1135150,1135151,1146717,1146718,1157753,1158062,1158063,1188628,1188629,1193500,1225247,1225248,1225249,1233957,1233958,1252073,1252074,1263149,1263150,1263169,1263170,1288345,1288346,1256726,1256727,1256728"
29,431909,"730279,730295,730297,722329,722333,766929,766931,766933,810423,810425,915773,915775,892515,892517,892519,1022593,1022595,1022597,1022599,1050229,1050231,1050233,1031659,1031661,1031663,1122886,1122887,1188629,1225247,1225248,1225249,1233957,1233958,1244025,1244026,1252073,1252074,1263149,1263150,1263169,1263170,1288345,1288346,1256726,1256727,1256728"
30,495551,"676525,722329"
31,274921,"587469,587470,676525,661683,766933,810425,1288346,1256726,1256727"
32,230558,"534207,560929,560930,587469,587470,661683"
33,51866,"534207,560929,560930"
34,446101,"534205,593988,593989,676527,661679,661681,730279,730295,730297,722331,722333,766931,766933,810423,915773,892515,1022593,1022595,1022597,1022599,1050229,1050231,1050233,1077953,1077954,1077955,1031661,1031663,1122886,1122887,1115793,1115794,1135149,1135150,1135151,1146717,1146718,1157752,1157753,1153311,1158062,1158063,1158064,1188628,1188629,1225247,1225248,1225249,1233957,1233958,1244025,1244026,1252073,1252074,1263150,1288345"
35,252932,"489228,531987,535997,535999,540177,540178,534205,534206,534207,560929,560930,587469,587470,593988,593989,676525,676527,661679,661681,661683,730277,1077953,1077954,1077955,1031659,1031661,1031663,1122886,1122887,1115793,1115794,1135149,1135150,1135151,1146717,1146718,1157752,1157753,1153311,1153312,1263149,1263150,1263169,1263170"
36,51786,"489228,531986,531987,535997,535998,535999,540176,534205,534206,661679,661681,661683,730277,730279,730281,730295,730297"
37,348024,"489219,531986,531987,535997,535998,535999,540176,540177,540178,661683,730279,730281,730295,730297,722329,722331,722333,766929,766931,766933,810423,810425,915773,915775,892515,892517,892519,1022593,1022595,1022597,1022599,1050229,1050231,1050233,1077953,1077954,1077955,1031659,1031661,1031663,1122886,1122887,1115793,1115794,1135149,1135150,1135151,1146717,1146718,1157752,1157753,1153311,1153312,1158062,1158063,1158064,1188628,1188629,1193500,1225247,1225248,1225249,1233957,1233958,1244025,1244026,1252073,1252074,1263149,1263150,1263169,1263170,1288345,1288346,1256726,1256727,1256728"
38,341593,"489218,489219,489226,489227,489228,531986,531987,535997,535998,535999,540176,766931,810423,915773,915775,1022593,1022595,1022599,1050229,1050231,1050233,1077953,1077954,1077955,1031661,1031663,1122886,1122887,1135149,1135150,1135151,1146717,1157752,1157753,1153311,1153312"
39,276298,464987
40,277472,"464987,464988,464989,489218,489219,489226,489227,489228,531986,531987,535997,535998,535999,540176,540177,540178,534205,534206,534207,587469,587470,593988,593989,676525,676527,661679,661681,730277,730279,730281,730295,730297,766929,766931,766933,810423,810425,915773,915775,892515,892517,892519,1022593,1022595,1022597,1022599,1050229,1050231,1050233,1158062,1158063,1158064,1188628,1188629,1233957,1233958"
41,329087,439154
42,52997,"439152,439153,439154,464987,464988,540177,540178,534206,593988,593989,676525,676527,661679,661681,730277,730281"
43,230552,"439152,464989"
44,53153,406191
45,52912,"406189,406190,406191,439152,439153,489218,489219,489226,489227,489228,531986,535997,535999,540178,534206,534207,560929,587469"
46,274926,"406189,406190,464987,464988,489226,489227,489228,535998,535999,540176,540177,540178,534205,534206,534207"
47,315586,"401071,401072"
48,230553,"401071,401072,406189,406190,406191,439153,439154,464987,464988,464989,489218,489219,531987,535998,540176,540177,540178,534205,534206,560929,560930,593988,593989,730277,730279,730281,730295,730297,722329,766929,766931,810425,915773,915775,892515,892517,892519,1031659,1031661,1031663,1122886,1122887,1115793,1115794,1135149,1135150,1135151,1146717,1153311,1153312,1158062,1158063,1158064,1188628,1188629,1193500,1225247,1225248,1225249,1233957,1244025,1252073,1252074,1263149,1263150,1263169,1263170,1288346,1256726,1256727,1256728"
49,52833,"401071,401072,439154"
50,315585,"401071,401072"
51,52622,401071
52,51660,"401071,401072,406189,406191,439152,439153"
53,51194,"401071,401072"
54,53116,"352664,380712,380713,489218,489219,489226,489227,531986"
55,6950,"366705,366706,352661,352662,390680,352663,352664,380712,380713,406189,406190,406191,439152,439153,439154,464987,464988,464989,489218,489219,489226"
56,51431,"366705,352664,380712,380713"
57,52277,319139
58,51492,"319133,319141,366705,366706"
59,51248,"319132,319141,366706,352661,352662,390680,352663,380712,380713,406189,406190,406191,439152,439153,439154,464988,464989,730277,730279,730281,730295,730297,722329,722331,722333,766929"
60,52687,"298803,319139"
61,53115,"258461,298801,298803,319139,319140,401071,401072,406190,464987,464988,464989,489218,489219,489226,489227,489228,531986,531987,535997,535998,535999,540176,540177,540178,534205,534206,534207,560929,560930,587469,587470,593988,593989,676525,676527,661679,661681,661683"
62,51246,"238180,238181,238182,239920,239921"
63,52913,214009
64,52917,"213347,214009,223889,226120,226348,238180,238181,238182,239920,239921,239922,239923,257765,257766,257767,258459,258460,258461,258462,298801,298802,298803,319132,319133,319139,319140,319141,366705,366706,352661,352662,390680,352663,352664,380712,380713,406189,406190,406191,439152,439153,439154,534205,534206,534207,560929,560930,587469,587470,593988,593989,676525,676527,661679,661681,661683,730277,730279,730281,730295,730297,722329,722331,722333,766929,766931,766933,810423,810425,915773,915775,892515,892517,892519"
65,52445,"213347,214009,238181,238182,257766,257767,258459,258460,258461,258462,298801,298802,298803,319139,319140"
66,52626,"213347,214009,319140,319141,366705,366706,352661"
67,53355,208321
68,52794,"64131,64132"
69,51659,"64131,208321,213347,214009,406191,439152,439153,439154,540176,540177,540178,534207,560929,560930,676527,661679,661681,661683"
70,52206,"64095,64096,213347,214009,258460"
71,51439,"64093,64094,64095,64096,64132,207334,208321,226120,226348,238180,238181,238182,239920,239921,239922,239923,257765,257766,257767,258459,258460,258461,258462,298801,298802,298803,319132,319133,319139,319140,319141,406189,406190,406191,439152,439153,439154,464987,464988,464989"
72,53118,"64065,64066,64078,64089,64090,64096,213347,226348,238180,238182"
73,52490,"64065,64095,239920,257765,257766"
74,51782,"64035,64054,64055,64063,64064,64065,64066,64077,64079,64080,64089,64090,64093,64095,64096,207334,209930,223889,226120,226348,238180,238181,238182,239920,257765,258461,258462,298801,298802,298803,319133,319139,319140,319141,366705,366706,352661,352662,390680,352663,352664,380712,380713,489226,489227,489228,531986,531987,535997,535998,535999,540176,540177,534205,587470"
75,53191,"64034,64035,64054,238180,239921,239922,239923,257765,257766,257767,258459,258460,258461,298801,298802,298803,319132,319133,319140,319141,366705,366706,352661,352662,390680,352663,380712,380713,406189,730277,730279,730281,730295,730297,722329,722331,722333,766929,766933,810423,810425,915773,915775,892515,892517,892519"
76,51436,"64026,64077,64078,64079,64080,64089,64090,64093,208321,210368,213347,214009,401071,401072,534207,560930,587469,587470,593988,593989,676525,676527,661679,661681,661683"
77,51258,"64026,64027,64034,64035,64055,64090,64093,64094,213347,214009"
78,51300,"64025,401071,401072"
79,51446,"64025,64026,64064,64095,64096,464987,464988,464989,489218,489219,489226,489227,489228,531986,531987,535997,535998,535999,540176,540177,540178"
80,52962,"64024,64025,64026,64027,64077,64078,64089,64090,64093,64094,64131,209930,210368,223889,226120,226348,258459,258460,258461,258462,319132,319133,319139,319140,352661,352662,390680,352663,352664,380712,380713,464989,489218,722329,722331,722333,766929,766931,1135149,1135150,1135151,1146717,1146718"
81,51655,"64018,64019,64024,64025,64026,64027,64035,64054,64063,64064,64065,64066"
82,52413,"64005,64006,64018,64019,64024,64026,64027,64089,64094,64096,213347,214009,223889"
83,51244,64005
84,52790,"63993,64006,64018,64019,64131,64132,207334,208321,209930,210368,213347,214009,223889,226120,226348,238181,238182,257766,257767,258459,258460,258462,298801,298802,298803,319132,319133,319139,319140,319141,366705,366706,352661,352662,390680,352663,352664"
85,52957,"63984,63985,63986,63987,63988,63993,63994,64064,64065,64077,64078"
86,52055,"63974,63975,64004,64005,64077,64079,64080,64131,207334,319132,352662,390680,352663,352664,401072"
87,51877,63929
88,52428,"63928,63941,63942,63958"
89,52960,"63910,63911,63941,63942,63958,63959"
90,52983,"63909,63910,63911,63925,63926,63927,63929,63941,63942,63958,63959,63960,64006,64018,64019,64024,64025,64034,64035,223889,226120,239922,239923,258462,298801,298802,298803,319132,319133,489219,489227,489228,531986,531987,535997,535998,535999,534205,534206,534207,560929,560930,587469,587470,593988,593989,676525,676527,661679,661681,661683,730277,722329,722331,722333,766929,766931,766933,810423,915773,915775,892515,892517,892519,1022593,1022595,1022597,1022599,1050229,1050231,1050233"
91,51228,"63907,63908,63909,63942,63960,63985"
